apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
ActivityLifecycle2,Lifecycle,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,17,1,2,0,10,161,0,21,2,2,3,4,489,4,0,750,19,98,24,10,25,0,348,26,27,70,87,2
Serialization1,GeneralJava,TRUE,TRUE,c167cc6905f08070a40daaa496572761,b113be2d9166c32182a638bbebda617a,0,84,1,12,0,60,231,0,29,2,9,3,21,3078,4,0,3366,144,55,42,12,158,0,1939,33,140,100,838,4
VirtualDispatch1,GeneralJava,TRUE,TRUE,cfd95fd0a60d05e28f68af32281dcb9d,c35ed0b7f9c3d443ecacff168d0a98c6,0,57,2,12,0,38,250,0,47,2,3,4,15,2159,4,0,2465,82,55,50,21,154,0,1511,29,46,166,445,2
TimerTask1,Threading,TRUE,TRUE,e5613aad75bc3bad53f848ba14482c54,b56f9eba0516716301bb7f157e21dcfa,0,43,0,8,0,29,90,0,30,1,5,1,13,1478,5,0,1660,65,91,57,0,101,0,842,14,75,38,457,3
Sensors1,EmulatorDetection,TRUE,TRUE,261344c792f6dba326380a7e5a124103,b56f9eba0516716301bb7f157e21dcfa,0,44,0,7,0,32,35,0,30,0,5,0,12,1561,5,0,1673,105,76,62,0,78,0,1042,0,73,0,365,2
DeviceId1,EmulatorDetection,TRUE,TRUE,c59167715f1aa44341707631a416c074,c428ab5f184d796b88866f07b6e2fa38,0,44,0,6,0,30,25,0,21,0,8,0,14,2201,4,0,2405,74,177,34,0,76,0,1433,0,116,0,574,3
VirtualDispatch2,GeneralJava,TRUE,TRUE,fc02225d305bbb82ba65a2fc2d31f9c2,455b5a41fee3f4d1e256727f07d3f3f7,0,43,4,1,0,30,252,0,32,2,6,6,7,1583,4,0,1953,59,116,41,43,13,0,1192,31,82,154,294,2
ActivityEventSequence2,Lifecycle,TRUE,TRUE,b113be2d9166c32182a638bbebda617a,c167cc6905f08070a40daaa496572761,0,34,0,25,0,9,48,0,45,0,0,0,25,3157,4,0,3285,58,79,45,0,460,0,847,0,0,0,1847,1
RegisterGlobal2,Callbacks,TRUE,TRUE,39a221180f8c3d8f2d1aa325ed488fe5,b6e0326d94af6e730acbedd03ff773f7,0,17,0,5,0,8,52,0,34,1,3,1,8,568,5,0,676,19,54,50,0,66,0,219,14,45,11,236,2
AnonymousClass1,Callbacks,TRUE,TRUE,5c2abed233d2263f7fde277efb2c6326,c35ed0b7f9c3d443ecacff168d0a98c6,0,24,0,9,0,11,259,0,38,1,3,1,12,2320,5,0,2658,42,77,42,0,130,0,967,16,54,92,1167,2
SourceCodeSpecific1,GeneralJava,TRUE,TRUE,c59167715f1aa44341707631a416c074,c428ab5f184d796b88866f07b6e2fa38,0,36,0,10,0,23,48,0,24,0,3,0,13,1779,6,0,1889,75,59,31,0,119,0,1111,0,38,0,509,2
ArrayAccess1,ArraysAndLists,FALSE,TRUE,29ea37dd3fee251e76d512636d738ba3,9e71d1dbb7f99254dd5f81811f612f41,0,18,0,15,0,3,134,0,19,0,0,0,15,2210,5,0,2511,36,166,19,0,227,0,492,0,0,0,1489,1
